month,category,country,recognized_revenue_azn
2026-06-01,Beauty,Azerbaijan,57413.34
2026-06-01,Beauty,Georgia,13532.99
2026-06-01,Beauty,Germany,13348.04
2026-06-01,Beauty,Kazakhstan,4807.24
2026-06-01,Beauty,Turkiye,13723.38
2026-06-01,Beauty,UAE,5501.90
2026-06-01,Beauty,,607.17
2026-06-01,Electronics,Azerbaijan,565328.54
2026-06-01,Electronics,Georgia,101566.80
2026-06-01,Electronics,Germany,59787.99
2026-06-01,Electronics,Kazakhstan,65716.37
2026-06-01,Electronics,Turkiye,109415.87
2026-06-01,Electronics,UAE,32967.34
2026-06-01,Electronics,,11258.98
2026-06-01,Fashion,Azerbaijan,72196.41
2026-06-01,Fashion,Georgia,13271.30
2026-06-01,Fashion,Germany,13212.41
2026-06-01,Fashion,Kazakhstan,7628.08
2026-06-01,Fashion,Turkiye,19875.19
2026-06-01,Fashion,UAE,8325.71
2026-06-01,Fashion,,268.29
2026-06-01,Grocery,Azerbaijan,19744.06
2026-06-01,Grocery,Georgia,4597.31
2026-06-01,Grocery,Germany,5219.26
2026-06-01,Grocery,Kazakhstan,1964.62
2026-06-01,Grocery,Turkiye,14295.62
2026-06-01,Grocery,UAE,1356.86
2026-06-01,Grocery,,26.20
2026-06-01,Home & Garden,Azerbaijan,83331.17
2026-06-01,Home & Garden,Georgia,12083.56
2026-06-01,Home & Garden,Germany,14395.25
2026-06-01,Home & Garden,Kazakhstan,3649.37
2026-06-01,Home & Garden,Turkiye,22917.74
2026-06-01,Home & Garden,UAE,7141.05
2026-06-01,Home & Garden,,1485.13
2026-06-01,Sports,Azerbaijan,174263.50
2026-06-01,Sports,Georgia,36951.28
2026-06-01,Sports,Germany,22652.21
2026-06-01,Sports,Kazakhstan,19679.91
2026-06-01,Sports,Turkiye,45113.38
2026-06-01,Sports,UAE,11366.37
2026-06-01,Sports,,1128.28
2026-06-01,Uncategorized,Azerbaijan,2837.10
2026-06-01,Uncategorized,Georgia,302.22
2026-06-01,Uncategorized,Germany,510.65
2026-06-01,Uncategorized,Kazakhstan,395.46
2026-06-01,Uncategorized,Turkiye,958.69
2026-07-01,Beauty,Azerbaijan,57697.95
2026-07-01,Beauty,Georgia,11569.16
2026-07-01,Beauty,Germany,10223.24
2026-07-01,Beauty,Kazakhstan,4633.86
2026-07-01,Beauty,Turkiye,19094.07
2026-07-01,Beauty,UAE,4206.34
2026-07-01,Beauty,,217.96
2026-07-01,Electronics,Azerbaijan,381015.35
2026-07-01,Electronics,Georgia,95756.06
2026-07-01,Electronics,Germany,75425.32
2026-07-01,Electronics,Kazakhstan,51509.99
2026-07-01,Electronics,Turkiye,111414.97
2026-07-01,Electronics,UAE,44200.48
2026-07-01,Electronics,,4792.35
2026-07-01,Fashion,Azerbaijan,61009.36
2026-07-01,Fashion,Georgia,13598.43
2026-07-01,Fashion,Germany,11186.26
2026-07-01,Fashion,Kazakhstan,7655.01
2026-07-01,Fashion,Turkiye,16250.55
2026-07-01,Fashion,UAE,5740.59
2026-07-01,Fashion,,77.30
2026-07-01,Grocery,Azerbaijan,22096.64
2026-07-01,Grocery,Georgia,3540.75
2026-07-01,Grocery,Germany,3484.52
2026-07-01,Grocery,Kazakhstan,2873.57
2026-07-01,Grocery,Turkiye,5151.86
2026-07-01,Grocery,UAE,1511.20
2026-07-01,Grocery,,69.77
2026-07-01,Home & Garden,Azerbaijan,83037.43
2026-07-01,Home & Garden,Georgia,16920.97
2026-07-01,Home & Garden,Germany,16019.28
2026-07-01,Home & Garden,Kazakhstan,9961.35
2026-07-01,Home & Garden,Turkiye,17610.85
2026-07-01,Home & Garden,UAE,6201.51
2026-07-01,Home & Garden,,1328.44
2026-07-01,Sports,Azerbaijan,168411.90
2026-07-01,Sports,Georgia,33117.49
2026-07-01,Sports,Germany,25061.54
2026-07-01,Sports,Kazakhstan,16108.19
2026-07-01,Sports,Turkiye,41165.38
2026-07-01,Sports,UAE,10105.14
2026-07-01,Sports,,2237.61
2026-07-01,Uncategorized,Azerbaijan,3101.39
2026-07-01,Uncategorized,Georgia,1925.98
2026-07-01,Uncategorized,Germany,1128.06
2026-07-01,Uncategorized,Turkiye,1637.37
2026-07-01,Uncategorized,UAE,202.86
2026-08-01,Beauty,Azerbaijan,49493.06
2026-08-01,Beauty,Georgia,10893.45
2026-08-01,Beauty,Germany,9418.10
2026-08-01,Beauty,Kazakhstan,9981.47
2026-08-01,Beauty,Turkiye,11884.06
2026-08-01,Beauty,UAE,6450.33
2026-08-01,Beauty,,190.70
2026-08-01,Electronics,Azerbaijan,507562.50
2026-08-01,Electronics,Georgia,82478.35
2026-08-01,Electronics,Germany,118901.48
2026-08-01,Electronics,Kazakhstan,65464.65
2026-08-01,Electronics,Turkiye,111638.30
2026-08-01,Electronics,UAE,33157.68
2026-08-01,Electronics,,4559.00
2026-08-01,Fashion,Azerbaijan,70385.76
2026-08-01,Fashion,Georgia,15523.24
2026-08-01,Fashion,Germany,13177.44
2026-08-01,Fashion,Kazakhstan,5584.25
2026-08-01,Fashion,Turkiye,13655.94
2026-08-01,Fashion,UAE,5015.59
2026-08-01,Grocery,Azerbaijan,23133.25
2026-08-01,Grocery,Georgia,4395.34
2026-08-01,Grocery,Germany,3461.98
2026-08-01,Grocery,Kazakhstan,2722.09
2026-08-01,Grocery,Turkiye,6137.58
2026-08-01,Grocery,UAE,1728.76
2026-08-01,Grocery,,10.72
2026-08-01,Home & Garden,Azerbaijan,81699.27
2026-08-01,Home & Garden,Georgia,12495.77
2026-08-01,Home & Garden,Germany,12485.32
2026-08-01,Home & Garden,Kazakhstan,9902.06
2026-08-01,Home & Garden,Turkiye,23815.35
2026-08-01,Home & Garden,UAE,6604.87
2026-08-01,Sports,Azerbaijan,159014.16
2026-08-01,Sports,Georgia,26326.99
2026-08-01,Sports,Germany,23469.45
2026-08-01,Sports,Kazakhstan,19475.55
2026-08-01,Sports,Turkiye,37587.71
2026-08-01,Sports,UAE,13546.16
2026-08-01,Sports,,4074.23
2026-08-01,Uncategorized,Azerbaijan,5040.07
2026-08-01,Uncategorized,Georgia,1036.12
2026-08-01,Uncategorized,Turkiye,1904.40
2026-08-01,Uncategorized,UAE,995.40
